host name,average price,average beds,property count
Natalia,99110.0,2.0,1
Edgar,85727.0,2.0,1
Hawaii Life,25000.0,5.0,5
Hale Kamaole,25000.0,3.0,1
"Whalers Investment Group,",25000.0,4.0,1
Rentals Maui,25000.0,2.0,13
Jane,25000.0,4.0,3
Maui Condo,25000.0,3.0,5
Chase 'N Rainbows,25000.0,2.0,1
Suiteness,20000.0,2.0,25
Kauhale,18500.0,16.0,1
Karin,15800.0,6.0,1
Maui Westside,11100.0,12.0,1
Maui Resort Rentals,10995.0,10.0,2
Lilian,10000.0,4.0,2
Laine,10000.0,2.0,1
Mauna Lani,9999.0,2.0,2
K B M Resort Rentals,9451.68,4.0,92
South Kohala,8621.0,0.0,1
Mauna Kea,8500.0,7.0,1
Pure Kauai,8465.25,7.0,4
Haiku House,7500.0,9.0,1
Wailani,7420.0,5.0,1
Rex,7172.0,1.0,1
Iokua Residential Services,7000.0,8.0,1
Halekailani,6500.0,5.0,1
Christopher,6500.0,6.0,1
Private Homes Hawaii,6273.88,4.0,8
Mark,6190.0,6.0,2
Glenn,6000.0,6.0,1
Private Paradise Villas,5791.0,5.0,4
Gather Vacations,5775.0,8.0,2
Cuvee,5687.0,6.0,3
Bianka,5555.0,2.0,7
Mia,5500.0,7.0,1
Fereshteh,5314.0,13.0,2
SunHawaii,5301.0,4.0,1
Karl,5200.0,5.0,1
Dahlia,5143.0,8.0,1
Sherry,5080.0,7.0,1
Jude,5067.0,12.0,1
Christine,5000.0,4.0,2
Andrew,4995.0,32.0,1
Gal,4814.0,5.0,1
