host name,average price,average beds,property count
Rentals Maui,1785.49,2.0,222
Destination Residences Hawaii,1185.63,3.0,274
Maui Resort Rentals,1080.19,4.0,457
RoomPicks,966.78,4.0,983
Gather Vacations,772.39,4.0,313
Maui Condo,587.42,2.0,395
Parrish Kauai,499.01,3.0,258
Alii Resorts,486.87,0.0,182
Hawaii Vacation Condos By Outrigger,390.63,2.0,254
CB Island Vacations,362.52,3.0,346
LiveSuite.Io,334.76,3.0,223
My Perfect Stays,282.39,2.0,347
Vacasa,265.85,3.0,344
Vacasa Hawaii,253.71,3.0,536
Captain Cook Resorts,227.99,2.0,189
Maui Paradise Properties,224.71,2.0,301
Evolve,208.64,3.0,213
